epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.7098,1.50648,2.74401,1.77086,0.21499,0.15015,0.12095,0.03946,1.47867,40.5942,2.18906,0.000547729,0.000547729,0.000547729
2,72.2751,1.22515,1.81472,1.54447,0.2461,0.21529,0.17604,0.06366,1.81987,38.7097,2.55501,0.000994159,0.000994159,0.000994159
3,103.403,1.15485,1.458,1.46091,0.19683,0.24689,0.13552,0.04736,2.21478,28.7262,2.84924,0.00133057,0.00133057,0.00133057
4,135.459,1.10424,1.23899,1.41056,0.33899,0.28653,0.20249,0.07823,1.75569,27.8601,2.31563,0.0011719,0.0011719,0.0011719
5,166.231,0.97898,1.02785,1.30544,0.24919,0.24148,0.18414,0.06742,1.96496,12.4246,2.46332,0.00100687,0.00100687,0.00100687
6,195.719,0.89188,0.85508,1.24465,0.27244,0.37721,0.2529,0.09954,1.90057,15.1154,2.32659,0.000841835,0.000841835,0.000841835
7,225.943,0.81808,0.75993,1.17847,0.32681,0.30007,0.23283,0.08771,1.92973,11.5651,2.32189,0.000676802,0.000676802,0.000676802
8,255.288,0.74218,0.67885,1.13971,0.41554,0.3476,0.27197,0.10479,1.97515,7.87495,2.3893,0.000511769,0.000511769,0.000511769
9,284.27,0.69235,0.62067,1.09374,0.38779,0.36062,0.2603,0.10651,1.94285,9.08304,2.27173,0.000346736,0.000346736,0.000346736
10,313.355,0.62524,0.56237,1.059,0.45318,0.37232,0.31991,0.1467,1.84275,8.67233,2.18582,0.000181703,0.000181703,0.000181703
